ProductURL,ProductName,RootCate,SubCate,CurrentPrice,TimeStamp
https://www.target.com/p/-/A-79697212,Doctor Who: Tom Baker The Complete Third Season (Blu-ray)(2020),"Movies, Music & Books",Movies,47.49,22/01/2022 23:14:37
https://www.target.com/p/-/A-78635532,"Cypress Home Black Ink Ceramic Cup O' Joe W/Box, 18 Oz., Grandma",Kitchen & Dining,Coffee Mugs & Tea Cups,20.99,22/01/2022 23:14:40
https://www.target.com/p/-/A-52848882,Fabulous Journey to the Center of the Earth (DVD)(2017),"Movies, Music & Books",Movies,9.99,22/01/2022 23:14:42
https://www.target.com/p/-/A-15418690,Curious George: The Complete Seventh Season (DVD),"Movies, Music & Books",Movies,9.99,22/01/2022 23:14:44
https://www.target.com/p/-/A-77541417,Obituary - Slowly We Rot (Vinyl),"Movies, Music & Books",Vinyl Records,28.99,22/01/2022 23:14:47
https://www.target.com/p/-/A-81779039,"Raz Imports 12.75"" Lighted Gray Barn Snow Globe with Red Truck and Dogs",Home,Candle Holders,94.99,22/01/2022 23:14:50
https://www.target.com/p/-/A-75515705,"Defender Defender 85150BLK Defender ""NANO"" Cable Protector / 6-channel / Indoor-Outdoor / BLACK 3 ft. Black",Electronics,TV Accessories,99.99,22/01/2022 23:14:53
https://www.target.com/p/-/A-77840167,Soul Stories Revised Edition - by  Anne E Streaty Wimberly (Paperback),"Movies, Music & Books",Non-Fiction,16.69,22/01/2022 23:14:55
https://www.target.com/p/-/A-79236198,August Wilson's Gem of the Ocean - (Paperback),"Movies, Music & Books",Drama,10.89,22/01/2022 23:14:57
https://www.target.com/p/-/A-13657511,3 Doors Down - Time of My Life (CD),"Movies, Music & Books",Music,8.67,22/01/2022 23:15:00
https://www.target.com/p/-/A-82292818,"Napier 19 Series Backroadz Vehicle Specific Compact/Regular Truck Bed Portable 2 Person Outdoor Camping Tent with Convenient Carry Bag, Gray/Green",Sports & Outdoors,Tents,161.39,22/01/2022 23:15:03
https://www.target.com/p/-/A-81522121,Wenzel Jack Pine 4 Person Dome Fern Tent,Sports & Outdoors,Tents,79.99,22/01/2022 23:15:06
https://www.target.com/p/-/A-14533743,Save Rock and Roll (CD),"Movies, Music & Books",Music,11.88,22/01/2022 23:15:09
https://www.target.com/p/-/A-81947706,Ultimate Ears Hyperboom Portable Bluetooth Speaker - Black,Electronics,Boom Boxes & CD Players,449.99,22/01/2022 23:15:12
https://www.target.com/p/-/A-76616631,Trailblazers: Harriet Tubman - by  Sandra A Agard (Paperback),"Movies, Music & Books",Pre-teen Books,7.99,22/01/2022 23:15:15
https://www.target.com/p/-/A-81328154,Ernie Ball Music Man Majesty BFR Electric Guitar Dargie Delight 3,Musical Instruments,Electric Guitars,3399.0,22/01/2022 23:15:17
https://www.target.com/p/-/A-76870229,Korea: The Forgotten War (DVD)(2010),"Movies, Music & Books",Movies,6.99,22/01/2022 23:15:20
https://www.target.com/p/-/A-76100198,Northlight 3' Prelit Artificial Christmas Tree Country Mixed Pine - Clear Lights,Holiday Shop,Christmas Trees,77.49,22/01/2022 23:15:23
https://www.target.com/p/-/A-16459595,Sundown Heaven Town (CD),"Movies, Music & Books",Music,11.71,22/01/2022 23:15:26
https://www.target.com/p/-/A-79653467,Girls&#39; JoJo Siwa Unicorn Bow Hair Clip,Beauty,Hair Accessories,7.99,22/01/2022 23:15:29
https://www.target.com/p/-/A-82394521,Silver Lux Shower Curtain with PEVA Liner Silver - Hookless,Home,Shower Curtains & Accessories,33.49,22/01/2022 23:15:31
